bdt,count,peak,sig,eff,significance,ratio
0.9925,260,12.0184562534,277.7+/-23.1,0.0030488576,True,(1.28+/-0.17)e-07
0.9925,270,11.8497994447,285.4+/-24.1,0.0030488576,True,(1.32+/-0.17)e-07
0.9925,280,11.9799284486,293.1+/-24.5,0.0030488576,True,(1.36+/-0.18)e-07
0.9925,290,12.9699105683,317.2+/-24.5,0.0030488576,True,(1.47+/-0.19)e-07
0.9925,300,11.4157817864,280.8+/-24.6,0.0030488576,True,(1.30+/-0.17)e-07
0.9925,310,12.5613066174,318.5+/-25.4,0.0030488576,True,(1.47+/-0.19)e-07
0.9925,320,12.2389487245,313.6+/-25.6,0.0030488576,True,(1.45+/-0.19)e-07
0.9925,330,14.7489640412,383.2+/-26.0,0.0030488576,True,(1.77+/-0.21)e-07
0.9925,340,12.7611470684,340.5+/-26.7,0.0030488576,True,(1.58+/-0.20)e-07
0.9925,350,13.6384220466,357.1+/-26.2,0.0030488576,True,(1.65+/-0.20)e-07
0.9925,360,14.6668536209,392.9+/-26.8,0.0030488576,True,(1.82+/-0.22)e-07
0.9925,370,13.356343008,358.4+/-26.8,0.0030488576,True,(1.66+/-0.21)e-07
0.9925,380,13.9682783783,390.6+/-28.0,0.0030488576,True,(1.81+/-0.22)e-07
0.9925,390,13.2407422175,369.9+/-27.9,0.0030488576,True,(1.71+/-0.21)e-07
0.995,60,5.3540783831,53.7+/-10.0,0.0003488742,True,(2.2+/-0.5)e-07
0.995,70,5.397978564,59.1+/-11.0,0.0003488742,True,(2.4+/-0.5)e-07
0.995,80,6.5863661849,73.3+/-11.1,0.0003488742,True,(3.0+/-0.5)e-07
0.995,90,7.60707098,96.8+/-12.7,0.0003488742,True,(3.9+/-0.6)e-07
0.995,100,6.9929786166,92.1+/-13.2,0.0003488742,True,(3.7+/-0.7)e-07
0.995,110,6.672932598,95.3+/-14.3,0.0003488742,True,(3.9+/-0.7)e-07
0.995,120,7.1402838197,109.3+/-15.3,0.0003488742,True,(4.4+/-0.8)e-07
0.995,130,8.1679625244,124.0+/-15.2,0.0003488742,True,(5.0+/-0.8)e-07
0.995,140,9.3958124805,142.7+/-15.2,0.0003488742,True,(5.8+/-0.8)e-07
0.995,150,10.6156937851,160.3+/-15.1,0.0003488742,True,(6.5+/-0.9)e-07
0.995,160,13.0755515205,171.0+/-13.1,0.0003488742,True,(6.9+/-0.9)e-07
0.995,170,10.6112857173,177.0+/-16.7,0.0003488742,True,(7.2+/-1.0)e-07
0.995,180,10.9239005843,184.1+/-16.9,0.0003488742,True,(7.4+/-1.0)e-07
0.995,190,9.8138104268,183.6+/-18.7,0.0003488742,True,(7.4+/-1.1)e-07
0.995,200,9.7069406366,175.9+/-18.1,0.0003488742,True,(7.1+/-1.0)e-07
0.995,210,10.6653636528,198.4+/-18.6,0.0003488742,True,(8.0+/-1.1)e-07
0.995,220,11.6439449156,224.3+/-19.3,0.0003488742,True,(9.1+/-1.2)e-07
0.995,230,11.4579142634,227.9+/-19.9,0.0003488742,True,(9.2+/-1.2)e-07
0.995,240,12.3233712796,242.6+/-19.7,0.0003488742,True,(9.8+/-1.3)e-07
0.995,250,12.7263007843,254.5+/-20.0,0.0003488742,True,(1.03+/-0.13)e-06
0.995,260,11.5692959127,243.0+/-21.0,0.0003488742,True,(9.8+/-1.3)e-07
0.995,270,16.7625373679,281.0+/-16.8,0.0003488742,True,(1.14+/-0.13)e-06
0.995,280,17.0584382307,291.0+/-17.1,0.0003488742,True,(1.18+/-0.14)e-06
0.995,290,17.3492072617,301.0+/-17.3,0.0003488742,True,(1.22+/-0.14)e-06
0.995,300,12.6800076166,281.9+/-22.2,0.0003488742,True,(1.14+/-0.15)e-06
0.995,310,14.2622002271,319.3+/-22.4,0.0003488742,True,(1.29+/-0.16)e-06
0.995,320,14.1044546035,321.6+/-22.8,0.0003488742,True,(1.30+/-0.16)e-06
0.995,330,18.4664335074,341.0+/-18.5,0.0003488742,True,(1.38+/-0.16)e-06
0.995,340,18.7340721175,351.1+/-18.7,0.0003488742,True,(1.42+/-0.16)e-06
0.995,350,14.2204329503,338.8+/-23.8,0.0003488742,True,(1.37+/-0.17)e-06
0.995,360,14.9382168925,359.1+/-24.0,0.0003488742,True,(1.45+/-0.17)e-06
0.995,370,14.3945642312,361.5+/-25.1,0.0003488742,True,(1.46+/-0.18)e-06
0.995,380,14.704964322,369.1+/-25.1,0.0003488742,True,(1.49+/-0.18)e-06
0.995,390,14.6449129335,367.6+/-25.1,0.0003488742,True,(1.49+/-0.18)e-06
0.9975,30,5.3337408998,30.8+/-5.8,2.02245941176768E-005,True,(2.1+/-0.5)e-06
0.9975,40,5.9594844725,39.0+/-6.5,2.02245941176768E-005,True,(2.7+/-0.5)e-06
0.9975,50,6.7709393867,51.0+/-7.5,2.02245941176768E-005,True,(3.6+/-0.6)e-06
0.9975,60,7.5363223724,60.8+/-8.1,2.02245941176768E-005,True,(4.2+/-0.7)e-06
0.9975,70,7.7340447715,66.8+/-8.6,2.02245941176768E-005,True,(4.7+/-0.8)e-06
0.9975,80,8.8473896906,80.9+/-9.1,2.02245941176768E-005,True,(5.6+/-0.9)e-06
0.9975,90,9.6438372685,93.0+/-10.0,2.02245941176768E-005,True,(6.5+/-0.9)e-06
0.9975,100,9.5686417609,101.7+/-10.6,2.02245941176768E-005,True,(7.1+/-1.0)e-06
0.9975,110,10.3613925272,110.6+/-10.7,2.02245941176768E-005,True,(7.7+/-1.1)e-06
0.9975,120,11.0877134121,122.9+/-11.1,2.02245941176768E-005,True,(8.6+/-1.2)e-06
0.9975,130,11.5320813313,133.0+/-11.5,2.02245941176768E-005,True,(9.3+/-1.2)e-06
0.9975,140,11.7518006515,140.9+/-12.0,2.02245941176768E-005,True,(9.8+/-1.3)e-06
0.9975,150,12.1510571252,150.8+/-12.4,2.02245941176768E-005,True,(1.05+/-0.14)e-05
0.9975,160,12.6188927715,161.2+/-12.8,2.02245941176768E-005,True,(1.12+/-0.14)e-05
0.9975,170,12.7701294943,169.4+/-13.3,2.02245941176768E-005,True,(1.18+/-0.15)e-05
0.9975,180,12.9350575198,177.5+/-13.7,2.02245941176768E-005,True,(1.24+/-0.16)e-05
0.9975,190,13.8925656033,193.0+/-13.9,2.02245941176768E-005,True,(1.35+/-0.17)e-05
0.9975,200,14.0479094527,200.7+/-14.3,2.02245941176768E-005,True,(1.40+/-0.17)e-05
0.9975,210,14.323011858,210.8+/-14.7,2.02245941176768E-005,True,(1.47+/-0.18)e-05
0.9975,220,14.3947369785,216.1+/-15.0,2.02245941176768E-005,True,(1.51+/-0.18)e-05
0.9975,230,14.8926653605,228.2+/-15.3,2.02245941176768E-005,True,(1.59+/-0.19)e-05
0.9975,240,15.5885530056,243.0+/-15.6,2.02245941176768E-005,True,(1.69+/-0.20)e-05
0.9975,250,15.7394733463,250.9+/-15.9,2.02245941176768E-005,True,(1.75+/-0.21)e-05
0.9975,260,16.2169984698,263.0+/-16.2,2.02245941176768E-005,True,(1.83+/-0.22)e-05
0.9975,270,16.0951923042,267.4+/-16.6,2.02245941176768E-005,True,(1.86+/-0.22)e-05
0.9975,280,16.6638978065,282.1+/-16.9,2.02245941176768E-005,True,(1.97+/-0.23)e-05
0.9975,290,17.0180624048,291.4+/-17.1,2.02245941176768E-005,True,(2.03+/-0.24)e-05
0.9975,300,17.4064873443,303.0+/-17.4,2.02245941176768E-005,True,(2.11+/-0.24)e-05
0.9975,310,17.4379671488,309.6+/-17.8,2.02245941176768E-005,True,(2.16+/-0.25)e-05
0.9975,320,17.7391840404,319.3+/-18.0,2.02245941176768E-005,True,(2.23+/-0.26)e-05
0.9975,330,17.9289510992,328.5+/-18.3,2.02245941176768E-005,True,(2.29+/-0.26)e-05
0.9975,340,18.0127018461,334.9+/-18.6,2.02245941176768E-005,True,(2.34+/-0.27)e-05
0.9975,350,18.3695518128,348.0+/-18.9,2.02245941176768E-005,True,(2.43+/-0.28)e-05
0.9975,360,19.0528484545,363.0+/-19.1,2.02245941176768E-005,True,(2.53+/-0.29)e-05
0.9975,370,18.9924175175,368.4+/-19.4,2.02245941176768E-005,True,(2.57+/-0.29)e-05
0.9975,380,19.5700325366,383.0+/-19.6,2.02245941176768E-005,True,(2.67+/-0.30)e-05
